PLAYER;PER
Aaron Gordon;14.59
Aaron Holiday;9.29
Aaron Nesmith;9.46
Abdel Nader;13.43
Adam Mokoka;2.30
Al Horford;17.48
Alec Burks;14.88
Aleksej Pokusevski;6.18
Alen Smailagic;8.98
Alex Caruso;11.13
Alex Len;16.48
Al-Farouq Aminu;8.89
Alfonzo McKinnie;15.59
Alize Johnson;23.59
Amida Brimah;16.61
Amir Coffey;10.07
Anderson Varejao;12.93
Andre Drummond;19.46
Andre Iguodala;9.23
Andre Roberson;4.19
Andrew Wiggins;15.05
Anfernee Simons;12.38
Anthony Davis;22.16
Anthony Edwards;13.95
Anthony Gill;13.71
Anthony Lamb;8.72
Anthony Tolliver;4.03
Anzejs Pasecniks;-40.47
Armoni Brooks;10.47
Aron Baynes;10.50
Ashton Hagans;-12.41
Austin Rivers;9.92
Avery Bradley;6.29
Axel Toupane;9.05
Bam Adebayo;22.76
Ben McLemore;8.57
Ben Simmons;18.38
Bismack Biyombo;11.76
Blake Griffin;12.93
Boban Marjanovic;22.62
Bobby Portis;20.00
Bogdan Bogdanovic;17.63
Bojan Bogdanovic;14.03
Bol Bol;9.46
Brad Wanamaker;9.52
Bradley Beal;22.81
Brandon Clarke;17.37
Brandon Goodwin;9.22
Brandon Ingram;19.24
Brian Bowen II;1.08
Brodric Thomas;8.00
Brook Lopez;15.46
Bruce Brown;16.15
Bruno Caboclo;9.07
Bruno Fernando;6.21
Bryn Forbes;12.84
Buddy Hield;12.85
C.J. Elleby;9.39
C.J. McCollum;20.81
Caleb Martin;9.55
Cam Reddish;9.36
Cam Reynolds;6.54
Cameron Johnson;11.83
Cameron Oliver;17.29
Cameron Payne;17.47
Caris LeVert;17.85
Carmelo Anthony;14.66
Carsen Edwards;10.30
Cassius Stanley;5.56
Cassius Winston;10.86
Cedi Osman;10.34
Chandler Hutchison;6.83
Charlie Brown Jr.;4.14
Chasson Randle;7.45
Chimezie Metu;14.60
Chris Boucher;21.97
Chris Chiozza;12.92
Chris Paul;21.42
Chris Silva;11.50
Christian Wood;20.06
Chuma Okeke;11.78
Clint Capela;24.36
Coby White;12.09
Cody Martin;10.59
Cody Zeller;18.22
Cole Anthony;12.16
Collin Sexton;18.06
Cory Joseph;12.52
Cristiano Felicio;14.67
D.J. Augustin;12.18
D.J. Wilson;11.58
Dakota Mathias;9.83
Damian Jones;14.60
Damian Lillard;25.65
Damion Lee;11.85
Damyean Dotson;8.12
D'Angelo Russell;17.63
Daniel Gafford;22.26
Daniel Oturu;12.50
Daniel Theis;15.02
Danilo Gallinari;16.37
Danny Green;12.14
Dante Exum;5.96
Danuel House Jr.;9.12
DaQuan Jeffries;7.94
Dario Saric;14.40
Darius Bazley;9.73
Darius Garland;14.24
Darius Miller;15.95
David Nwaba;14.40
Davis Bertans;11.44
De'Aaron Fox;20.74
Dean Wade;11.37
Deandre Ayton;20.35
DeAndre' Bembry;11.28
De'Andre Hunter;15.75
DeAndre Jordan;17.14
De'Anthony Melton;15.28
Deividas Sirvydis;5.71
Dejounte Murray;16.52
Delon Wright;16.29
DeMar DeRozan;22.04
DeMarcus Cousins;16.50
Deni Avdija;7.61
Dennis Schroder;13.84
Dennis Smith Jr.;13.66
Denzel Valentine;10.12
Derrick Favors;19.69
Derrick Jones Jr.;11.92
Derrick Rose;18.38
Derrick White;15.01
Desmond Bane;12.23
Devin Booker;19.33
Devin Cannady;11.25
Devin Vassell;10.64
Devon Dotson;19.42
Devontae Cacok;17.24
Devonte' Graham;14.68
Dewayne Dedmon;24.57
Didi Louzada;-0.86
Dillon Brooks;12.19
Domantas Sabonis;20.64
Donovan Mitchell;21.39
Donta Hall;22.32
Donte DiVincenzo;12.99
Dorian Finney-Smith;12.00
Doug McDermott;15.72
Draymond Green;13.33
Drew Eubanks;17.92
Duncan Robinson;11.10
Dwayne Bacon;9.99
Dwight Howard;17.81
Dwight Powell;16.80
Dylan Windler;10.80
Ed Davis;13.14
Edmond Sumner;12.72
Elfrid Payton;11.80
Elijah Bryant;10.62
Elijah Hughes;8.50
Enes Kanter;22.48
Eric Bledsoe;11.58
Eric Gordon;14.46
Eric Paschall;13.45
Ersan Ilyasova;12.10
E'Twaun Moore;10.41
Evan Fournier;16.75
Facundo Campazzo;11.57
Frank Jackson;13.31
Frank Kaminsky;15.84
Frank Mason III;7.55
Frank Ntilikina;7.75
Fred VanVleet;16.88
Freddie Gillespie;13.44
Furkan Korkmaz;12.80
Gabe Vincent;7.67
Gabriel Deck;16.09
Garrett Temple;8.28
Garrison Mathews;9.70
Gary Clark;6.01
Gary Harris;9.18
Gary Payton II;29.30
Gary Trent Jr.;12.15
George Hill;13.13
Georges Niang;11.40
Giannis Antetokounmpo;29.24
Glenn Robinson III;9.08
Goga Bitadze;16.36
Goran Dragic;13.07
Gordon Hayward;17.65
Gorgui Dieng;19.20
Grant Riller;23.68
Grant Williams;7.54
Grayson Allen;12.83
Greg Whittington;-10.13
Hamidou Diallo;14.31
Harrison Barnes;15.43
Harry Giles III;12.47
Hassan Whiteside;19.28
Henry Ellenson;12.87
Ignas Brazdeikis;9.59
Iman Shumpert;-0.31
Immanuel Quickley;15.84
Isaac Bonga;4.03
Isaac Okoro;7.91
Isaiah Hartenstein;17.98
Isaiah Joe;9.53
Isaiah Roby;11.94
Isaiah Stewart;16.40
Isaiah Thomas;2.50
Ish Smith;11.68
Ivica Zubac;19.10
J.J. Redick;9.95
Ja Morant;16.81
