PLAYER;POS;HEIGHT;WEIGHT;AGE;TEAM;GP;YOS;COLLEGE;DRAFT;COUNTRY;SALARY
Precious Achiuwa;SF;6-8;235;21;MIA;61;0;Memphis;2020 Rnd 1 Pick 20;Nigeria;$2,582,160 
Jaylen Adams;PG;6-0;225;24;MIL;7;1;St. Bonaventure;2018 NBA Draft, Undrafted;United States;$449,115
Steven Adams;C;6-11;265;27;NOP;58;7;Pittsburgh;2013 Rnd 1 Pick 12;New Zealand;$29,592,695 
Bam Adebayo;C;6-10;255;23;MIA;64;3;Kentucky;2017 Rnd 1 Pick 14;United States;$5,115,492 
LaMarcus Aldridge;FC;6-11;265;35;BRK, SAN;26;14;Texas;2006 Rnd 1 Pick 2;United States;$16,750,000
Ty-Shon Alexander;SG;6-4;195;22;PHX;15;0;Creighton;2020 NBA Draft, Undrafted;United States;$449,115
Nickeil Alexander-Walker;SG;6-5;205;22;NOP;46;1;Virginia Tech;2019 Rnd 1 Pick 17;Canada;$3,113,160 
Grayson Allen;SG;6-4;198;25;MEM;50;2;Duke;2018 Rnd 1 Pick 21;United States;$2,545,320 
Jarrett Allen;C;6-11;248;22;BRK, CLE;63;3;Texas;2017 Rnd 1 Pick 22;United States;$3,909,902 
Al-Farouq Aminu;F;6-9;220;30;CHI, ORL;23;10;Wake Forest;2010 Rnd 1 Pick 8;United States;$9,720,900 
Kyle Anderson;PF;6-8;230;27;MEM;69;6;UCLA;2014 Rnd 1 Pick 30;United States;$9,505,100 
Giannis Antetokounmpo;F;6-11;242;26;MIL;61;7;Other;2013 Rnd 1 Pick 15;Greece;$27,528,088 
Kostas Antetokounmpo;PF;6-10;200;23;LAL;15;2;Dayton;2018 Rnd 2 Pick 30;Greece;$449,115
Thanasis Antetokounmpo;SF;6-7;215;28;MIL;57;2;Delaware 87ers;2014 Rnd 2 Pick 21;Greece;$1,701,593 
Carmelo Anthony;F;6-8;240;36;POR;69;17;Syracuse;2003 Rnd 1 Pick 3;United States;$1,620,564 
Cole Anthony;PG;6-3;190;20;ORL;47;0;North Carolina;2020 Rnd 1 Pick 15;United States;$3,285,120 
Ogugua Anunoby;SF;6-8;232;23;TOR;43;3;Indiana;2017 Rnd 1 Pick 23;England;$3,872,215 
Ryan Arcidiacono;G;6-3;195;26;CHI;44;3;Villanova;2016 NBA Draft, Undrafted;United States;$3,000,000 
Trevor Ariza;SF;6-8;215;35;MIA;30;16;UCLA;2004 Rnd 2 Pick 14;United States;$12,800,000 
D.J. Augustin;G;6-0;183;33;HOU, MIL;57;12;Texas;2008 Rnd 1 Pick 9;United States;$6,666,667 
Deni Avdija;SG;6-9;210;20;WAS;54;0;Other;2020 Rnd 1 Pick 9;Israel;$4,469,160 
Deandre Ayton;C;7-1;250;22;PHX;69;2;Arizona;2018 Rnd 1 Pick 1;Bahamas;$10,018,200 
Udoka Azubuike;C;7-0;270;21;UTA;15;0;Kansas;2020 Rnd 1 Pick 27;Nigeria;$1,977,000 
Dwayne Bacon;SF;6-6;221;25;ORL;72;3;Florida State;2017 Rnd 2 Pick 10;United States;$1,678,854 
Marvin Bagley III;PF;6-11;240;21;SAC;43;2;Duke;2018 Rnd 1 Pick 2;United States;$8,963,640 
LaMelo Ball;G;6-7;185;19;CHA;51;0;Other;2020 Rnd 1 Pick 3;United States;$7,839,960 
Lonzo Ball;PG;6-6;190;23;NOP;55;3;UCLA;2017 Rnd 1 Pick 2;United States;$11,003,782 
Mohamed Bamba;C;7-0;250;22;ORL;46;2;Texas;2018 Rnd 1 Pick 6;United States;$5,969,040 
Desmond Bane;SG;6-6;215;22;MEM;68;0;Texas Christian;2020 Rnd 1 Pick 30;United States;$1,936,440 
Harrison Barnes;SF;6-8;225;28;SAC;58;8;North Carolina;2012 Rnd 1 Pick 7;United States;$22,215,909 
R.J. Barrett;SG;6-7;202;20;NYK;72;1;Duke;2019 Rnd 1 Pick 3;Canada;$8,231,760 
Will Barton;GF;6-5;181;30;DEN;56;8;Memphis;2012 Rnd 2 Pick 10;United States;$13,723,214 
Keita Bates-Diop;SF;6-8;230;25;SAS;30;2;Ohio State;2018 Rnd 2 Pick 18;United States;$449,115
Nicolas Batum;F;6-8;230;32;LAC;67;12;Other;2008 Rnd 1 Pick 25;France;$1,620,564 
Aron Baynes;C;6-10;260;34;TOR;53;8;Washington State;2009 NBA Draft, Undrafted;New Zealand;$7,000,000 
Kent Bazemore;GF;6-4;195;31;GSW;67;8;Old Dominion;2012 NBA Draft, Undrafted;United States;$1,620,564 
Darius Bazley;PF;6-8;208;20;OKC;55;1;Other;2019 Rnd 1 Pick 23;United States;$2,399,160 
Bradley Beal;SG;6-3;207;27;WAS;60;8;Florida;2012 Rnd 1 Pick 3;United States;$28,751,774 
Malik Beasley;SG;6-4;196;24;MIN;37;4;Florida State;2016 Rnd 1 Pick 19;United States;$13,425,895 
Jordan Bell;PF;6-8;216;26;GOS, WAS;6;3;Oregon;2017 Rnd 2 Pick 8;United States;$110,998 
DeAndre' Bembry;GF;6-5;210;26;TOR;51;4;Saint Joseph's;2016 Rnd 1 Pick 21;United States;$1,737,145 
Davis Bertans;SF;6-10;225;28;WAS;57;4;Other;2011 Rnd 2 Pick 12;Latvia;$15,000,000 
Patrick Beverley;PG;6-1;180;32;LAC;37;8;Other;2009 Rnd 2 Pick 12;United States;$13,333,333 
Saddiq Bey;F;6-8;215;21;DET;70;0;Villanova;2020 Rnd 1 Pick 19;United States;$2,689,920 
Tyler Bey;PF;6-7;216;23;DAL;18;0;Colorado;2020 Rnd 2 Pick 6;United States;$449,115
Khem Birch;PF;6-9;230;28;ORL, TOR;67;3;UNLV;2014 NBA Draft, Undrafted;Canada;$410,691 
Goga Bitadze;C;6-11;245;21;IND;45;1;Other;2019 Rnd 1 Pick 18;Georgia;$2,957,520 
Bismack Biyombo;PF;6-9;255;28;CHA;66;9;Other;2011 Rnd 1 Pick 7;Democratic Republic of the Congo;$3,500,000 
Nemanja Bjelica;PF;6-10;235;32;MIA, SAC;37;5;Other;2010 Rnd 2 Pick 5;Serbia;$7,150,000 
Eric Bledsoe;PG;6-1;214;31;NOP;71;10;Kentucky;2010 Rnd 1 Pick 18;United States;$16,875,000 
Keljin Blevins;G;6-4;200;25;POR;17;0;Montana State;2019 NBA Draft, Undrafted;United States;$449,115
Bogdan Bogdanovic;SG;6-6;220;28;ATL;44;3;Other;2014 Rnd 1 Pick 27;Serbia;$18,000,000 
Bojan Bogdanovic;F;6-8;216;31;UTA;72;6;Other;2011 Rnd 2 Pick 1;Bosnia and Herzegovina;$17,850,000 
Bol Bol;C;7-2;209;21;DEN;32;1;Oregon;2019 Rnd 2 Pick 14;United States;$2,058,240 
Marques Bolden;C;6-10;249;22;CLE;6;1;Duke;2019 NBA Draft, Undrafted;United States;$449,115
Jordan Bone;SG;6-3;185;23;ORL;14;1;Tennessee;2019 Rnd 2 Pick 27;United States;$135,350
Isaac Bonga;SG;6-8;180;21;WAS;40;2;Other;2018 Rnd 2 Pick 9;Germany;$1,663,861 
Devin Booker;SG;6-6;206;24;PHX;67;5;Kentucky;2015 Rnd 1 Pick 13;United States;$29,467,800 
Chris Boucher;PF;6-10;200;28;TOR;60;3;Oregon;2017 NBA Draft, Undrafted;Saint Lucia;$6,500,000 
Brian Bowen II;SF;6-7;199;22;IND;6;1;Other;2019 NBA Draft, Undrafted;United States;$375,321
Avery Bradley;PG;6-3;180;30;HOU, MIA;27;10;Texas;2010 Rnd 1 Pick 19;United States;$5,635,000 
Tony Bradley;C;6-11;248;23;OKC, PHL;42;3;North Carolina;2017 Rnd 1 Pick 28;United States;$3,542,060 
Jarrell Brantley;SF;6-7;238;24;UTA;28;1;Charleston;2019 Rnd 2 Pick 20;United States;$510,586
Ignas Brazdeikis;SF;6-6;221;22;NYK, ORL, PHL;13;1;Michigan;2019 Rnd 2 Pick 17;Lithuania;$99,020 
Mikal Bridges;SG;6-7;210;24;PHX;72;2;Villanova;2018 Rnd 1 Pick 10;United States;$4,359,000 
Miles Bridges;SF;6-7;225;22;CHA;66;2;Michigan State;2018 Rnd 1 Pick 12;United States;$3,934,320 
